date,equity,net_return,gross_return,turnover,cost,exposure,benchmark_net_return,benchmark_equity
2008-02-08,101360.48234454691,0.01360482344546902,0.01360482344546902,0.0,0.0,1.0,-0.006420647290437453,99357.93527095625
2008-02-11,102124.32473884616,0.007535899362660709,0.007535899362660709,0.0,0.0,1.0,0.005109436818130364,99865.59836360309
2008-02-12,101239.51065634587,-0.008664087471451606,-0.008664087471451606,0.0,0.0,1.0,0.009271097721643251,100791.46208506242
2008-02-13,102316.32709789569,0.010636326021024045,0.010636326021024045,0.0,0.0,1.0,0.010223344854036753,101821.88796030058
2008-02-14,102668.45697300597,0.003441580489625728,0.003441580489625728,0.0,0.0,1.0,-0.008799446469582306,100925.9117077621
2008-02-15,102537.40352252338,-0.0012764723883699198,-0.0012764723883699198,0.0,0.0,1.0,-0.0002223571121786616,100903.47011349077
2008-02-19,105030.83921172649,0.02431732815094545,0.02431732815094545,0.0,0.0,1.0,0.0028118657628157795,101187.19712645219
2008-02-20,106138.60134442865,0.010547017818919535,0.010547017818919535,0.0,0.0,1.0,0.0029517049069673895,101485.87187273262
2008-02-21,105454.76700902762,-0.006442842912371812,-0.006442842912371812,0.0,0.0,1.0,-0.0083138189450922,100642.13670849788
2008-02-22,106463.80377406909,0.009568431979514846,0.009568431979514846,0.0,0.0,1.0,0.006157888939941847,101261.87980902726
2008-02-25,107219.52968271736,0.007098430469871389,0.007098430469871389,0.0,0.0,1.0,0.012608452117420565,102538.63537191936
2008-02-26,108827.54363525717,0.014997397930192724,0.014997397930192724,0.0,0.0,1.0,0.0075005919980581925,103307.7358398818
2008-02-27,109498.03726630168,0.006161065559760407,0.006161065559760407,0.0,0.0,1.0,-0.0010118328706023583,103203.2056769715
2008-02-28,109923.08313823432,0.003881767039339068,0.003881767039339068,0.0,0.0,1.0,-0.009767373628951415,102195.18140741899
2008-02-29,107940.01751890352,-0.018040483970386562,-0.018040483970386562,0.0,0.0,1.0,-0.022283770505094558,99917.88743820957
2008-03-03,109060.637157397,0.010381873787423057,0.010381873787423057,0.0,0.0,1.0,-0.002391041406910821,99678.97963205374
2008-03-04,107317.27153607318,-0.01598528732972452,-0.01598528732972452,0.0,0.0,1.0,-0.0038203772011699,99298.16833083157
2008-03-05,109807.28124057637,0.023202320268328837,0.023202320268328837,0.0,0.0,1.0,0.006316218976862853,99925.35730601048
2008-03-06,108370.15824415162,-0.013087683987696256,-0.013087683987696256,0.0,0.0,1.0,-0.020698025929558717,97857.09966947026
2008-03-07,107351.756274562,-0.009397439166742034,-0.009397439166742034,0.0,0.0,1.0,-0.010300246926414625,96849.14737937195
2008-03-10,107315.15554234372,-0.0003409420906412827,-0.0003409420906412827,0.0,0.0,1.0,-0.013183508388675769,95572.3358324599
2008-03-11,110322.69200852787,0.028025272394982977,0.028025272394982977,0.0,0.0,1.0,0.035937801256440194,99006.9954432206
2008-03-12,110433.440615724,0.0010038606308444922,0.0010038606308444922,0.0,0.0,1.0,-0.009351578795333215,98081.12372404413
2008-03-13,110640.61133447882,0.0018759781240152247,0.0018759781240152247,0.0,0.0,1.0,0.0022073381149478877,98297.62192679713
2008-03-14,109424.57741843816,-0.010990845959486257,-0.010990845959486257,0.0,0.0,1.0,-0.015495361944102504,96774.46469679686
2008-03-17,107230.61490319694,-0.020049997605670868,-0.020049997605670868,0.0,0.0,1.0,-0.010107220001287609,95796.34389159949
2008-03-18,108921.24940803705,0.015766341602781453,0.015766341602781453,0.0,0.0,1.0,0.04154296378156519,99776.00793629457
2008-03-19,103869.68126829166,-0.046378169247961634,-0.046378169247961634,0.0,0.0,1.0,-0.02476938712415422,97304.6173700178
2008-03-20,101894.37666130776,-0.01901714324011209,-0.01901714324011209,0.0,0.0,1.0,0.01852259009518642,99106.9509119316
2008-03-24,103888.40885607996,0.019569600012376176,0.019569600012376176,0.0,0.0,1.0,0.019987967951658803,101087.89747054591
2008-03-25,105780.17601578542,0.018209607602386102,0.018209607602386102,0.0,0.0,1.0,0.0009646670612994956,101185.41363553178
2008-03-26,106957.31006823416,0.011128115841602263,0.011128115841602263,0.0,0.0,1.0,-0.012236137076920395,99947.29504410252
2008-03-27,107049.43288279933,0.0008613045195920617,0.0008613045195920617,0.0,0.0,1.0,-0.0031528422311377646,99632.17699139948
2008-03-28,105536.22488651608,-0.014135600306635372,-0.014135600306635372,0.0,0.0,1.0,-0.009564620792630874,98679.23299973246
2008-03-31,104336.73421741975,-0.011365677239129401,-0.011365677239129401,0.0,0.0,1.0,0.003497934298745564,99024.40647341612
2008-04-01,104112.14144044888,-0.0021525762585483284,-0.0021525762585483284,0.0,0.0,1.0,0.03515923326126935,102506.02867917372
2008-04-02,106134.08843881829,0.019420856879847737,0.019420856879847737,0.0,0.0,1.0,0.0006591291770692287,102573.59339350165
2008-04-03,106817.40696829544,0.006438256921300622,0.006438256921300622,0.0,0.0,1.0,0.0024868699581821474,102828.68058141474
2008-04-04,107255.65667013644,0.00410279292747732,0.00410279292747732,0.0,0.0,1.0,-0.001094479427722228,102716.13670593858
2008-04-07,108480.62253262557,0.011420990747895932,0.011420990747895932,0.0,0.0,1.0,0.0005114776073407157,102768.67370977621
2008-04-08,108102.32186188883,-0.0034872649317895243,-0.0034872649317895243,0.0,0.0,1.0,-0.0010221987959143641,102663.62369525235
2008-04-09,108917.81042487157,0.007543672965920216,0.007543672965920216,0.0,0.0,1.0,-0.007235707603935437,101920.77973263305
2008-04-10,109071.91073403404,0.001414831133322784,0.001414831133322784,0.0,0.0,1.0,0.001398805091192168,102063.34703822133
2008-04-11,108149.68123243623,-0.008455242925436868,-0.008455242925436868,0.0,0.0,1.0,-0.0194088340296954,100082.41647504127
2008-04-14,108236.25637903753,0.0008005122679486756,0.0008005122679486756,0.0,0.0,1.0,-0.003373615826211429,99744.7768508956
2008-04-15,109311.44377711986,0.009933708297495734,0.009933708297495734,0.0,0.0,1.0,0.00233168714724008,99977.35046508316
2008-04-16,111377.88435325287,0.018904155912041233,0.018904155912041233,0.0,0.0,1.0,0.027094004705003005,102686.13726897787
2008-04-17,110654.87047312333,-0.006491539001013698,-0.006491539001013698,0.0,0.0,1.0,0.0014612797093578322,102836.19043780134
2008-04-18,110457.57178450473,-0.0017830095302178162,-0.0017830095302178162,0.0,0.0,1.0,0.01043443662729282,103909.22814991679
2008-04-21,110541.30746936763,0.0007580800800715362,0.0007580800800715362,0.0,0.0,1.0,0.0005056817617674625,103961.77315147153
2008-04-22,110434.95423477334,-0.0009621130510308883,-0.0009621130510308883,0.0,0.0,1.0,-0.004403054374240489,103504.02381144314
2008-04-23,110188.55185931236,-0.002231199144947923,-0.002231199144947923,0.0,0.0,1.0,-0.0015949996043794767,103338.93493441222
