path,sharpe_costed,cagr,annual_turnover,sharpe_cost_free
0,0.4257861639905376,0.063449796407552,15.910607267498202,0.4688466130725658
1,0.3588288257306526,0.04897427922222297,15.492317324060412,0.40249467380494297
2,0.4632397664172463,0.07177639193220098,16.068771548471524,0.5060006339576728
3,0.44179330955964147,0.06464995222138636,15.91405566890368,0.4865548991556565
4,0.308404854409024,0.04140752513405577,16.0844259639137,0.3506026291751258
5,0.4001260206829244,0.056771388376014364,15.945487685865144,0.4450327193059395
6,0.38027988040341243,0.05089497792537645,15.353056632212647,0.42607304044075256
7,0.6294084263839749,0.10427071834534551,15.713918986319063,0.6720287142018045
8,0.39128597240185686,0.05649391703277851,16.013852838920123,0.43482884292615487
9,0.47313691401739877,0.06910560598679871,15.661815282857159,0.5185356382977794
10,0.3764334691433603,0.053160380035657706,16.250374375289816,0.4211098873956698
11,0.45181959798579413,0.06780375422460172,15.616349764028039,0.4947382473265299
12,0.43605549849089,0.06575822536586529,16.50309695675169,0.48043355090009254
13,0.4215745998435288,0.05641396033239765,15.846745731325873,0.47070962803110766
14,0.3673871442994484,0.053221050178638096,16.688913003184346,0.41112095931137194
15,0.47974998969507304,0.07292448870593637,15.801677659381564,0.5232061564128238
16,0.469660145099361,0.06970081928415528,16.455533023120534,0.5160171135493389
17,0.37983450970309834,0.05303660733228077,16.802630362294973,0.42707553088567124
18,0.4541588229355471,0.06739089568619083,16.617543455042664,0.5006099166174262
19,0.5013829734212859,0.07255916403979357,16.146311300099963,0.5494803772111506
20,0.4927847945116184,0.06967569674354213,16.309390439931718,0.5424914143020008
21,0.3730130194851806,0.0496658464501063,15.872690794310605,0.4202948432933737
22,0.3295254739858403,0.04390809531200701,15.690210856780986,0.37325370453810697
23,0.5381248631611184,0.08508360188090847,15.622930054861568,0.5808109864805462
24,0.36795177793399014,0.049616993805478016,16.392849702975507,0.4155799865735866
25,0.3924538174592972,0.05794201218887762,15.758057981025287,0.4340342312311169
26,0.5544201300581645,0.08201196529635224,16.433690294743283,0.6033500552815884
27,0.3869485478725276,0.053636909227995355,16.28735429753444,0.4336992920545202
28,0.39949617530363024,0.05696384151634892,15.617514363819769,0.4432365465240445
29,0.4563429265056882,0.07075389426987422,16.327361466533553,0.49950963653771135
30,0.5164969145690994,0.07937671154129244,16.584121403994573,0.5628000899888977
31,0.3841635420273614,0.05479111174196616,16.191310770031322,0.42867603598980103
32,0.43460989005893685,0.06350539345584894,15.739629714304296,0.4785825289359024
33,0.3550853397869213,0.04705405186952949,16.087545297076332,0.4023065323973383
34,0.3087209970406127,0.04079144481319541,15.593104051614802,0.35098870748683475
35,0.28773375385823546,0.03536151889807315,15.98901918446188,0.3340589578610784
36,0.42641963568055885,0.06380698444343258,15.822823632191787,0.4690167281931076
37,0.395904781617729,0.053630694495802045,16.327011461346427,0.4445739934068589
38,0.4506920347796306,0.0676377443398255,15.732795922285977,0.49389497961583195
39,0.41525179684061436,0.06071560016492339,16.060686782969288,0.45928231655769247
40,0.22703595872331175,0.024734680405521736,16.104782390184482,0.2725954414979947
41,0.32734864239873684,0.04480222076823903,16.005913535632903,0.3698934915134049
42,0.5572346363866417,0.08657723631431424,16.216822002300294,0.6027828581888568
43,0.30519333868990883,0.039252028670514694,16.028122641339,0.350060177585684
44,0.3896166749677887,0.05817788688583736,15.715846480262217,0.4303874102049614
45,0.42547948743311276,0.06066006866819351,16.084894301088134,0.47155054629348436
46,0.4779455126715224,0.06913205528286626,16.099424893131303,0.5252484380934593
47,0.47825287096284613,0.07011262797225903,15.97083248897498,0.5243076962160733
48,0.6005923760148375,0.08973781777815004,16.555981235569526,0.6503936213792127
49,0.4367267643205466,0.06393997194973333,16.392764409906604,0.48264823438020915
50,0.3466488183861673,0.04641252326716172,16.69844466490313,0.39423414032423754
51,0.571310237386047,0.09407955417928626,16.32345349677667,0.6144953748038597
52,0.5068472599285572,0.07512240081044386,15.867409989543011,0.5527735756329417
53,0.4624992909043172,0.06766473813529417,15.762414649742373,0.5076961625307214
54,0.4260074006638759,0.059513625996024055,16.737171948621757,0.4752618205479817
55,0.5115586212003117,0.07438467118804803,15.53843538265128,0.5578262387631657
56,0.5145674910986524,0.07228016500157675,15.880159775982701,0.563940902918859
57,0.4852504290889055,0.06857295546915054,15.911792049365003,0.5335943730738126
58,0.5066072382047968,0.07536950773217499,15.995774555136906,0.5527758938169025
59,0.5908628096021041,0.08126092564703735,16.475422703302826,0.64500650209021
60,0.456188332483435,0.06850323410691717,16.618687227368063,0.5019557454192154
61,0.5291922701456497,0.08044284140420199,16.643434706194235,0.5766678348098562
62,0.4379634507439754,0.0647303557886183,16.466208417452535,0.48347521155488016
63,0.53228232785752,0.07707579215061044,15.684007258267874,0.5796433984862159
64,0.49628018816886926,0.07403265020478411,15.820680981347477,0.5415496846764134
65,0.41901851650116206,0.06144955995754775,16.31378469356204,0.46388760582475014
66,0.31925113853870246,0.0414693512048514,16.16996397032039,0.3652032205775978
67,0.4886532177123043,0.07033129709146646,16.527322787277008,0.5378449867667193
68,0.5819021617174921,0.08186824840237072,15.401327102587258,0.6310859293979882
69,0.6004759245042708,0.09624452390979288,15.989135885054312,0.6447811537603046
70,0.4615312095873645,0.06443882688051605,16.115532754431538,0.5103970334654039
71,0.331809901875291,0.04752454421052832,15.987168406444674,0.3715256074190272
72,0.5577513156016363,0.08217277457166339,16.386538578960444,0.6069619073344704
73,0.4432043475241532,0.06063562018123125,16.51924536033828,0.4938533382315928
74,0.547875552117161,0.0826549552215341,16.0360818438942,0.5943617670079236
75,0.31751368236973176,0.042024600896305,16.2261274142997,0.36198135161113193
76,0.5601089694837124,0.08531412978470754,15.9046942791236,0.6061130879526619
77,0.42414178761304666,0.06057738610204089,15.498334766067854,0.4684764906432412
78,0.5422147546619679,0.08668902165769765,16.641620440497025,0.5872026427363467
79,0.5373835340587354,0.08092830154900499,15.98536812495599,0.5835457045063027
80,0.38340194690388735,0.05350081077526214,16.326800979377722,0.42949826215276804
81,0.5340982928840058,0.08252208148237483,16.245546706991192,0.5795096161881658
82,0.43645588998085716,0.06431863702617457,15.847167199346929,0.4804446348103926
83,0.46052753591877904,0.06398244035637846,15.95112867708132,0.5091711237776255
84,0.33603415634182826,0.043299727099506136,15.782806081109507,0.38268366161099404
85,0.40194602297997156,0.0569209486774489,16.33514408925091,0.44815079282110104
86,0.4651413771707422,0.06504337292924522,16.07434269950195,0.5138241282531467
87,0.35291959020879604,0.049390591579156595,15.646436231766645,0.39505623092498005
88,0.4671693472253509,0.06687757388302829,16.06210671020871,0.5146331127526396
89,0.49674763646957926,0.07093343005713715,16.59182832997212,0.5467599014915425
90,0.33657753786376426,0.04588575364215752,15.995683381600132,0.38018031312970074
91,0.4271539839703726,0.06163640684525107,15.80673433042359,0.47187039312032536
92,0.4206003619375939,0.05998421232420359,16.234659420068645,0.46701072798792737
93,0.3749842213435959,0.05306653823300422,16.33142759600534,0.41967477860398794
94,0.5241996735753187,0.079302266479087,15.881943840561371,0.5694563781348135
95,0.4270416286977069,0.06378497627251267,15.813227366371313,0.46977155734402154
96,0.38012843803972535,0.04918934976621303,15.51415798193647,0.4284861548951891
97,0.6264533385453281,0.09766281706832336,16.21031283983467,0.6732958518540183
98,0.5251445857719125,0.08288781125970601,16.570084281359815,0.5701204028000338
99,0.44473359888220404,0.0670240029579936,16.42062597845554,0.4893594904661785
100,0.4912709521687514,0.07390144382285402,16.21541805700825,0.5371000053400959
101,0.39022723878560994,0.05567403527119641,16.6960674677729,0.4363542619402987
102,0.464888451447075,0.07053169832050754,16.242838514210153,0.5095115170802188
103,0.4744523158730322,0.06778319660769871,15.948975588208242,0.5218284892512317
104,0.4642686864725708,0.06453016703048697,15.83568418797856,0.5126907288296608
105,0.32924042803051806,0.043755452441041065,16.544301909699552,0.37550807106526435
106,0.5858181162672826,0.09187200842360155,16.270092697185486,0.6318733121098943
107,0.4287232135042243,0.06303170539516723,16.16403482401329,0.4734382606048761
108,0.6742763795477136,0.1062267062568738,16.43290522373876,0.7221803820926852
109,0.4968706338414718,0.06976218403085666,16.789744204020455,0.5485153627836129
110,0.39754265161276314,0.053869582217118905,16.315480854653146,0.4463268416832792
111,0.4454768720777248,0.06208193158699005,16.1817848196108,0.4939960033202488
112,0.5184618032001308,0.07996359796830288,15.925705244711637,0.5627045487330078
113,0.35109629283699106,0.04648304293593419,16.02560160520859,0.39782785182169267
114,0.3859136116887022,0.05202710989143711,16.289203317927925,0.43436279256738997
115,0.247097534429236,0.028330861786918238,16.02231911781333,0.29254307425420567
116,0.42877135447960557,0.05986684539240228,16.93784568309324,0.47880403890763124
117,0.5907425576250389,0.09140617030213583,16.135139110197386,0.6371002925221193
118,0.3967559261532542,0.053751285668927284,15.58335000683474,0.4432495462874085
119,0.5486429849562539,0.08018273595970249,15.851452675517915,0.5965387553423632
120,0.4337277992476433,0.06133180469028909,16.20076940448287,0.48111545650417625
121,0.5473291826210573,0.09029190016105049,16.059603555929232,0.5893125067305154
122,0.37114347267532644,0.049110980978369856,16.286519908091933,0.420038966995681
123,0.3393488364115434,0.04891111875463183,16.533253880323187,0.38085902327025956
124,0.43153751595555595,0.05886085808608321,15.707989575363786,0.4793958011224536
