,strategy_sharpe_ex,benchmark_sharpe_ex,sharpe_edge_ex,edge_change,strategy_return_in_year,benchmark_return_in_year
2008,0.8454175291597953,0.8603886278920116,-0.014971098732216359,-0.13912070889777128,-0.03322527662651564,-0.3099972191935313
2009,0.7312729643551467,0.6260363429620497,0.10523662139309697,-0.01891298877245795,0.23660970969805173,0.2635171317378757
2010,0.7623510795659567,0.6413082063757994,0.12104287319015727,-0.0031067369753976504,0.21359906306765408,0.1505619352519294
2011,0.8063512528494524,0.6847282766358657,0.12162297621358675,-0.0025266339519681713,0.045868314339156724,0.0189499295302602
2012,0.7731061162122129,0.6337015425863471,0.13940457362586578,0.015254963460310855,0.08559009397297901,0.15990327965597295
2013,0.7158252987654067,0.5943029607937332,0.12152233797167344,-0.0026272721938814803,0.2778997666438483,0.3230774503065801
2014,0.7606135272034151,0.6392075374306999,0.12140598977271522,-0.0027436203928397074,0.13630383592510587,0.13463815252091704
2015,0.8319107904899726,0.6762924308563754,0.15561835963359727,0.031468749468042345,-0.03694435514055916,0.012342923968451602
2016,0.8409683686484546,0.6443947172868583,0.19657365136159632,0.0724240411960414,-0.06614352085799158,0.11997874991133317
2017,0.7306610823549391,0.6162998442193723,0.11436123813556676,-0.009788372029988168,0.2148753436934785,0.2170539661562525
2018,0.8874199783095619,0.6954207382144382,0.1919992400951237,0.06784962992956878,-0.1395034800593522,-0.04568991210404749
2019,0.7070597978791107,0.5976524161408593,0.10940738173825137,-0.01474222842730355,0.2926155999261628,0.3122390690264727
2020,0.7522551090409172,0.6611815851756632,0.09107352386525402,-0.0330760863003009,0.19545308931199856,0.18331589090418388
2021,0.7770984512060126,0.6036133297733725,0.17348512143264017,0.04933551126708524,0.11972404789426694,0.2872876948734535
2022,0.8643903988466767,0.7531006155994122,0.11128978324726446,-0.012859826918290462,-0.09148074499837444,-0.18175374952608492
2023,0.7533365183312227,0.609357058204456,0.14397946012676677,0.019829849961211843,0.15682473145480147,0.26175815582623607
2024,0.7238445121355448,0.6121547024019548,0.11168980973359,-0.01245980043196493,0.2551492541001543,0.24886446555007624
2025,0.7283823844164925,0.633927785191115,0.09445459922537747,-0.029695010940177458,0.26279124157692313,0.18597741208262852
