lookback_months,holdings,rebalance,cost_bps,sharpe,cagr,ann_volatility,max_drawdown,calmar,sortino,ann_turnover,avg_exposure,n_periods
3,1,weekly,0,0.4085470010053349,0.031957840903810375,0.08608611271749475,-0.24640191551244606,0.12969802137027683,0.5668472591346946,16.154800590841955,0.3999999999999999,2708
3,1,weekly,5,0.3146446213313386,0.02365486080604673,0.08610610525895009,-0.25062828941437776,0.09438224576052077,0.43488587642521714,16.154800590841955,0.3999999999999999,2708
3,1,weekly,10,0.22069740702502622,0.015415402253318833,0.08616060716083299,-0.2548326451481562,0.06049225853444534,0.30387723494460833,16.154800590841955,0.3999999999999999,2708
3,1,weekly,20,0.03311946344843177,-0.0008747903845837124,0.08637283637489751,-0.26317572534762335,-0.003323978240881525,0.04525683417692129,16.154800590841955,0.3999999999999999,2708
3,1,monthly,0,0.5255028098121891,0.04570418728635617,0.09330937309949806,-0.24505281011071112,0.18650750124313087,0.7714878356065054,7.37016248153619,0.3999999999999999,2708
3,1,monthly,5,0.48610106999543357,0.04186002016409751,0.09329182613249143,-0.2462608113504906,0.1699824666967423,0.7121173034115069,7.37016248153619,0.3999999999999999,2708
3,1,monthly,10,0.44661159844602266,0.038028455802228356,0.0932895057115259,-0.24746736234288225,0.15367059091023663,0.6528844226601377,7.37016248153619,0.3999999999999999,2708
3,1,monthly,20,0.36744684210894324,0.03040299024793991,0.09333054159806882,-0.24987611822963574,0.1216722528881276,0.5349022360927117,7.37016248153619,0.3999999999999999,2708
3,1,quarterly,0,0.3394143688024859,0.027032213484402767,0.09072758701274869,-0.2870369964912437,0.09417675705517427,0.4722122120724455,2.754505169867061,0.3999999999999999,2708
3,1,quarterly,5,0.32428814312742066,0.025620226455103534,0.09071251822615214,-0.2873238352356011,0.08916846886056405,0.4508329601131474,2.754505169867061,0.3999999999999999,2708
3,1,quarterly,10,0.3091364727206918,0.024209617390757554,0.09070344001230764,-0.2876106739799583,0.0841749614356961,0.4294602303688609,2.754505169867061,0.3999999999999999,2708
3,1,quarterly,20,0.2787687672278235,0.021392529978487396,0.09070326131085643,-0.28818435146867327,0.07423210132494944,0.38673943647968406,2.754505169867061,0.3999999999999999,2708
3,2,weekly,0,0.574370394392512,0.07677792892738622,0.14790773724558612,-0.3977435128101118,0.19303376787955573,0.8004255877838774,23.524963072378142,0.7999999999999998,2708
3,2,weekly,5,0.4947850717770405,0.06418625034545955,0.14792552971817158,-0.39968575138162354,0.1605917902341581,0.6872709825524748,23.524963072378142,0.7999999999999998,2708
