date,strategy,benchmark,excess
2008,-0.035793103008410876,-0.30999741513865076,0.2742043121302399
2009,0.2326060193656665,0.26351721710247733,-0.030911197736810836
2010,0.21270248077989873,0.15056181589361883,0.062140664886279895
2011,0.04101084469444971,0.0189497685585307,0.02206107613591901
2012,0.08400690206852524,0.1599032921680279,-0.07589639009950266
2013,0.2785489215597341,0.323078079245978,-0.04452915768624388
2014,0.1364644999331548,0.13463748575153134,0.0018270141816234542
2015,-0.037223491264558706,0.012343105936251542,-0.04956659720081025
2016,-0.06791233058929991,0.11997874991133228,-0.1878910805006322
2017,0.21472798353122324,0.21705396615625205,-0.0023259826250288107
2018,-0.1397816386316072,-0.04568965157896354,-0.09409198705264366
2019,0.29319030700610704,0.3122384377891856,-0.019048130783078543
2020,0.1794932703615728,0.1833161370813996,-0.0038228667198267896
2021,0.11710368825649775,0.2872875190623212,-0.17018383080582344
2022,-0.09492275848761722,-0.1817535011993331,0.08683074271171587
2023,0.15618871420442781,0.2617577783124512,-0.10556906410802336
2024,0.25292969734875603,0.24886463075613485,0.00406506659262118
2025,0.2572429764822399,0.18597751800685325,0.07126545847538668
