,n_days,pct_of_sample,strategy_ann_return,benchmark_ann_return,strategy_ann_vol,strategy_sharpe,benchmark_sharpe,excess_ann_return,win_rate
Benchmark up,3417.0,0.758996001776988,0.1723422229499103,0.23948934423105972,0.1323012083712182,1.2684353197590437,1.6715121134298212,-0.06714712128114941,0.5659935616037459
Benchmark down,960.0,0.2132385606397157,-0.0819296571775705,-0.2133290238104497,0.1925711502160167,-0.3476926790833822,-0.5305359577953038,0.1313993666328792,0.49895833333333334
Vol: low,1480.0,0.32874278098622833,0.04803873832820971,0.10799421690601263,0.1141008016828704,0.4683966372166601,1.054284134198966,-0.05995547857780292,0.5351351351351351
Vol: mid,1480.0,0.32874278098622833,0.12854532303872057,0.1369112309064453,0.14479682116686252,0.9080241021562696,0.9611665257020903,-0.008365907867724731,0.5722972972972973
Vol: high,1480.0,0.32874278098622833,0.1450641544359932,0.10141605698617151,0.17783823787130928,0.8505933286465661,0.4741339298200397,0.04364809744982168,0.5412162162162162
